ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,Consumer
2025-08-04,4298.129067456581,3030.2917301469724,4653.859719640669,4298.129067456581,4298.129067456581,-438.0180624788595,-438.0180624788595,-438.0180624788595,112.1717847781743,112.1717847781743,112.1717847781743,-550.1898472570338,-550.1898472570338,-550.1898472570338,0.0,0.0,0.0,3860.111004977721,Consumer 1
2025-08-05,4301.92011628626,3033.7812665494143,4761.456136068755,4301.92011628626,4301.92011628626,-415.7059082786309,-415.7059082786309,-415.7059082786309,46.49377000105607,46.49377000105607,46.49377000105607,-462.19967827968696,-462.19967827968696,-462.19967827968696,0.0,0.0,0.0,3886.214208007629,Consumer 1
2025-08-06,4305.711164726097,2924.7361278631784,4709.786131148326,4305.711164726097,4305.711164726097,-483.5712869807523,-483.5712869807523,-483.5712869807523,-98.2349321469806,-98.2349321469806,-98.2349321469806,-385.3363548337716,-385.3363548337716,-385.3363548337716,0.0,0.0,0.0,3822.139877745345,Consumer 1
2025-08-07,4309.502213165934,3300.3645169309616,4970.969431800005,4309.502213165934,4309.502213165934,-189.63547902802478,-189.63547902802478,-189.63547902802478,132.2483978259685,132.2483978259685,132.2483978259685,-321.8838768539933,-321.8838768539933,-321.8838768539933,0.0,0.0,0.0,4119.86673413791,Consumer 1
2025-08-08,4313.2932616057715,2973.7772807423657,4665.117200489336,4313.2932616057715,4313.2932616057715,-442.71549922193964,-442.71549922193964,-442.71549922193964,-169.1279300705758,-169.1279300705758,-169.1279300705758,-273.5875691513638,-273.5875691513638,-273.5875691513638,0.0,0.0,0.0,3870.5777623838317,Consumer 1
2025-08-09,4317.084310045609,3128.42140077564,4747.308876196825,4317.084310045609,4317.084310045609,-385.7597796329051,-385.7597796329051,-385.7597796329051,-144.16676787440335,-144.16676787440335,-144.16676787440335,-241.59301175850172,-241.59301175850172,-241.59301175850172,0.0,0.0,0.0,3931.3245304127036,Consumer 1
2025-08-10,4320.875358673195,3385.9485124850858,5009.260847218084,4320.875358673195,4320.875358673195,-105.79095919468806,-105.79095919468806,-105.79095919468806,120.61567748832265,120.61567748832265,120.61567748832265,-226.4066366830107,-226.4066366830107,-226.4066366830107,0.0,0.0,0.0,4215.084399478506,Consumer 1
2025-08-11,4324.66640730078,3394.7149760632483,5029.274900276408,4324.66640730078,4324.66640730078,-115.70773674712152,-115.70773674712152,-115.70773674712152,112.17178477749663,112.17178477749663,112.17178477749663,-227.87952152461813,-227.87952152461813,-227.87952152461813,0.0,0.0,0.0,4208.9586705536585,Consumer 1
2025-08-12,4328.457455928366,3319.6487595226654,4985.065775942376,4328.457455928366,4328.457455928366,-198.7213377112666,-198.7213377112666,-198.7213377112666,46.493770000752896,46.493770000752896,46.493770000752896,-245.21510771201952,-245.21510771201952,-245.21510771201952,0.0,0.0,0.0,4129.736118217099,Consumer 1
2025-08-13,4332.2485045559515,3175.9598387104015,4773.428606989968,4332.2485045559515,4332.2485045559515,-375.23566943174995,-375.23566943174995,-375.23566943174995,-98.23493214740824,-98.23493214740824,-98.23493214740824,-277.00073728434165,-277.00073728434165,-277.00073728434165,0.0,0.0,0.0,3957.0128351242015,Consumer 1
2025-08-14,4336.039553340584,3368.223497649008,5022.688522201009,4336.039553340584,4336.039553340584,-189.01366735699855,-189.01366735699855,-189.01366735699855,132.2483978261295,132.2483978261295,132.2483978261295,-321.2620651831281,-321.2620651831281,-321.2620651831281,0.0,0.0,0.0,4147.025885983585,Consumer 1
2025-08-15,4339.830602125215,2938.2316742028647,4639.700050691566,4339.830602125215,4339.830602125215,-544.6665219864403,-544.6665219864403,-544.6665219864403,-169.12793007109238,-169.12793007109238,-169.12793007109238,-375.538591915348,-375.538591915348,-375.538591915348,0.0,0.0,0.0,3795.1640801387744,Consumer 1
2025-08-16,4343.621650909847,2916.242197470286,4610.995868202278,4343.621650909847,4343.621650909847,-581.1445696832374,-581.1445696832374,-581.1445696832374,-144.16676787506944,-144.16676787506944,-144.16676787506944,-436.977801808168,-436.977801808168,-436.977801808168,0.0,0.0,0.0,3762.4770812266092,Consumer 1
2025-08-17,4347.412699694479,3091.217203186363,4836.170307713838,4347.412699694479,4347.412699694479,-381.82903329661207,-381.82903329661207,-381.82903329661207,120.61567748805541,120.61567748805541,120.61567748805541,-502.4447107846675,-502.4447107846675,-502.4447107846675,0.0,0.0,0.0,3965.5836663978666,Consumer 1
2025-08-18,4351.2037487172165,3059.1223551902344,4764.242378047567,4351.2037487172165,4351.2037487172165,-456.4712635904785,-456.4712635904785,-456.4712635904785,112.17178477775754,112.17178477775754,112.17178477775754,-568.643048368236,-568.643048368236,-568.643048368236,0.0,0.0,0.0,3894.732485126738,Consumer 1
2025-08-19,4354.994797739955,2982.4538710251386,4580.784703543053,4354.994797739955,4354.994797739955,-585.7500718141464,-585.7500718141464,-585.7500718141464,46.49377000127581,46.49377000127581,46.49377000127581,-632.2438418154221,-632.2438418154221,-632.2438418154221,0.0,0.0,0.0,3769.244725925809,Consumer 1
